vendor_id,vendor_name,primary_department,risk_tier,Total_Invoiced,Invoice_Count,Duplicate_Invoice_Count,Flagged_Count,Avg_Risk_Score
VND-1001,Amazon Web Services Inc,Information Technology,Low,18029961.03,1347,30,196,4.29101707498144
VND-1002,Microsoft Azure Cloud,Information Technology,Low,16389514.97,1401,26,193,4.097073518915061
VND-1003,Snowflake Data Inc,Information Technology,Low,18094209.39,1324,42,225,5.154833836858006
VND-1004,CrowdStrike Security,Information Technology,Low,17003441.7,1423,36,217,4.673225579761068
VND-1005,Cisco Systems Inc,Information Technology,Medium,18288354.75,1339,32,204,4.611650485436893
VND-1006,Dell Enterprise Direct,Information Technology,Low,18535811.8,1322,8,184,4.0658093797276855
VND-1007,Google Advertising LLC,Marketing & Sales,Low,12017041.0,1248,26,154,3.8541666666666665
VND-1008,Meta Platforms Ads,Marketing & Sales,Low,12417965.95,1264,18,151,4.117879746835443
VND-1009,Ogilvy & Mather Creative,Marketing & Sales,Low,12730320.9,1306,38,176,4.437212863705972
VND-1010,HubSpot Inc,Marketing & Sales,Medium,11947091.77,1289,30,177,4.282389449185415
VND-1011,Gartner Research,Marketing & Sales,Low,11648640.21,1253,22,149,4.022346368715084
VND-1012,Salesforce CRM Direct,Marketing & Sales,Low,11747011.68,1275,18,146,3.8
VND-1013,Latham & Watkins LLP,Corporate Legal,Low,10919901.64,655,18,114,4.862595419847328
VND-1014,Skadden Arps Slate,Corporate Legal,Low,13843758.01,703,14,119,4.7155049786628735
VND-1015,Thomson Reuters Westlaw,Corporate Legal,Medium,9501981.96,604,6,93,4.428807947019868
VND-1016,LexisNexis Compliance,Corporate Legal,Low,9252563.91,612,8,99,4.264705882352941
VND-1017,DLA Piper International,Corporate Legal,Low,10096362.91,604,18,112,5.4801324503311255
VND-1018,Korn Ferry Executive Search,Human Resources,Low,8378630.91,1172,14,117,3.250853242320819
VND-1019,Workday Human Capital,Human Resources,Low,9339312.18,1197,30,134,3.5964912280701755
VND-1020,LinkedIn Talent Solutions,Human Resources,Medium,8163726.100000001,1229,24,133,3.6533767290480066
VND-1021,Aetna Corporate Health,Human Resources,Low,8771613.44,1166,18,124,3.734991423670669
VND-1022,BetterUp Coaching Inc,Human Resources,Low,9096899.66,1171,24,128,3.74466268146883
VND-1023,FedEx Enterprise Logistics,Operations & Logistics,Low,10000001.66,846,14,113,4.048463356973995
VND-1024,DHL Express Global,Operations & Logistics,Low,9489915.05,818,20,112,4.290953545232274
VND-1025,Maersk Shipping Line,Operations & Logistics,Medium,9689908.27,838,12,110,3.89618138424821
VND-1026,Penske Truck Leasing,Operations & Logistics,Low,8377876.63,817,14,111,4.069767441860465
VND-1027,Grainger Industrial Supply,Operations & Logistics,Low,10442173.56,863,24,118,4.14252607184241
VND-1028,Deloitte & Touche LLP,Finance & Administration,Low,9082994.93,770,12,109,4.064935064935065
VND-1029,PwC Advisory LLC,Finance & Administration,Low,9282676.4,740,24,119,5.20945945945946
VND-1030,WeWork Global Operations,Finance & Administration,Medium,9821779.040000001,790,8,98,3.4936708860759493
VND-1031,Staples Business Advantage,Finance & Administration,Low,10165441.69,823,16,128,4.3438639125151886
VND-1032,Bloomberg Finance LP,Finance & Administration,Low,9191054.13,787,22,114,4.282083862770013
VND-1033,"Rodriguez, Figueroa and Sanchez LLC",Finance & Administration,Low,10609773.58,765,20,115,4.405228758169935
VND-1034,Doyle Ltd Inc,Corporate Legal,Low,9863520.23,656,14,114,4.862804878048781
VND-1035,"Mcclain, Miller and Henderson LLC",Finance & Administration,Low,11319995.74,803,16,126,4.4707347447073476
VND-1036,Davis and Sons LLC,Operations & Logistics,Low,10392893.37,842,28,122,4.536817102137767
VND-1037,"Guzman, Hoffman and Baldwin LLC",Information Technology,Low,16162942.54,1371,30,205,4.452954048140044
VND-1038,"Gardner, Robinson and Lawrence Group",Marketing & Sales,Low,11724499.93,1238,28,160,4.450726978998384
VND-1039,Blake and Sons Inc,Operations & Logistics,Low,11845436.72,850,24,131,4.658823529411765
VND-1040,"Henderson, Ramirez and Lewis Group",Finance & Administration,Low,9577896.25,746,16,103,4.1554959785522785
VND-1041,Garcia-James Group,Human Resources,Low,8099929.899999999,1154,26,118,3.4098786828422876
VND-1042,Abbott-Munoz Inc,Information Technology,Low,16522789.33,1376,36,207,4.444040697674419
VND-1043,Blair PLC Corp,Corporate Legal,Low,9804104.86,604,12,107,5.041390728476821
VND-1044,Dudley Group LLC,Corporate Legal,Low,10828621.02,614,12,108,4.85342019543974
VND-1045,Arnold Ltd Corp,Information Technology,Medium,15981209.59,1321,28,199,4.348978046934141
VND-1046,"Mcclure, Ward and Lee Corp",Operations & Logistics,Medium,9846649.53,830,34,126,4.602409638554217
VND-1047,Williams and Sons Solutions,Finance & Administration,Low,9525976.13,777,14,118,4.575289575289576
VND-1048,Galloway-Wyatt LLC,Human Resources,Low,7293670.06,1183,32,135,3.8799661876584954
VND-1049,James Group Group,Finance & Administration,Medium,10521740.62,774,16,102,4.108527131782946
VND-1050,"Flowers, Martin and Kelly Group",Corporate Legal,Low,9050876.7,681,12,99,3.9794419970631423
VND-1051,"Adams, Zuniga and Wong LLC",Information Technology,Low,13851218.62,1386,20,173,3.5064935064935066
