transaction_id,transaction_date,department,vendor_name,amount,risk_tier,risk_score,ml_anomaly_score,primary_flag_reason,audit_investigation_narrative
TXN-2024-064172,2024-11-23,Finance & Administration,Morales-Jones Services,75000.0,Critical,100,91.5,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Morales-Jones Services' ($75,000.00); Spend spike (5.6x department norm of $13,382.26); High-value post executed on Saturday; Unusual clean round-sum retainer billing; High ML Isolation Forest score (91.5/100)"
TXN-2024-086069,2024-05-12,Corporate Legal,"Ferrell, Rice and Maddox Inc",100000.0,Critical,100,89.8,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Ferrell, Rice and Maddox Inc' ($100,000.00); Spend spike (5.8x department norm of $17,104.93); High-value post executed on Sunday; Unusual clean round-sum retainer billing; High ML Isolation Forest score (89.8/100)"
TXN-2024-096763,2024-04-21,Finance & Administration,Williams and Sons Solutions,75000.0,Critical,100,88.1,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Williams and Sons Solutions' ($75,000.00); Spend spike (5.6x department norm of $13,382.26); High-value post executed on Sunday; Unusual clean round-sum retainer billing; High ML Isolation Forest score (88.1/100)"
TXN-DUP-186364,2025-03-02,Human Resources,Galloway-Wyatt LLC,49750.0,Critical,100,86.4,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Galloway-Wyatt LLC' ($49,750.00); Amount $49,750.00 structured immediately below approval threshold; Spend spike (7.0x department norm of $7,162.96); High-value post executed on Sunday; High ML Isolation Forest score (86.4/100)"
TXN-DUP-878496,2024-01-26,Marketing & Sales,Chapman and Sons Group,49200.0,Critical,95,83.8,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Chapman and Sons Group' ($49,200.00); Amount $49,200.00 structured immediately below approval threshold; Spend spike (5.1x department norm of $9,573.66); High ML Isolation Forest score (83.8/100)"
TXN-2025-042189,2025-02-27,Human Resources,Galloway-Wyatt LLC,49750.0,Critical,95,82.8,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Galloway-Wyatt LLC' ($49,750.00); Amount $49,750.00 structured immediately below approval threshold; Spend spike (7.0x department norm of $7,162.96); High ML Isolation Forest score (82.8/100)"
TXN-2024-042417,2024-01-24,Marketing & Sales,Chapman and Sons Group,49200.0,Critical,95,80.9,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Chapman and Sons Group' ($49,200.00); Amount $49,200.00 structured immediately below approval threshold; Spend spike (5.1x department norm of $9,573.66); High ML Isolation Forest score (80.9/100)"
TXN-2025-000595,2025-03-25,Finance & Administration,PwC Advisory LLC,112008.96,Critical,90,59.5,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'PwC Advisory LLC' ($112,008.96); Spend spike (8.4x department norm of $13,382.26); Missing mandatory approver ID or invoice voucher"
TXN-DUP-412890,2025-03-26,Finance & Administration,PwC Advisory LLC,112008.96,Critical,90,56.3,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'PwC Advisory LLC' ($112,008.96); Spend spike (8.4x department norm of $13,382.26); Missing mandatory approver ID or invoice voucher"
TXN-2024-066716,2024-07-23,Operations & Logistics,"Harris, Collins and Carney LLC",100000.0,Critical,85,93.9,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Harris, Collins and Carney LLC' ($100,000.00); Spend spike (8.4x department norm of $11,937.45); Unusual clean round-sum retainer billing; High ML Isolation Forest score (93.9/100)"
TXN-DUP-540131,2024-07-23,Operations & Logistics,"Harris, Collins and Carney LLC",100000.0,Critical,85,93.9,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Harris, Collins and Carney LLC' ($100,000.00); Spend spike (8.4x department norm of $11,937.45); Unusual clean round-sum retainer billing; High ML Isolation Forest score (93.9/100)"
TXN-DUP-462530,2024-05-14,Corporate Legal,"Ferrell, Rice and Maddox Inc",100000.0,Critical,85,90.6,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Ferrell, Rice and Maddox Inc' ($100,000.00); Spend spike (5.8x department norm of $17,104.93); Unusual clean round-sum retainer billing; High ML Isolation Forest score (90.6/100)"
TXN-DUP-730355,2025-08-10,Marketing & Sales,Gomez-Jenkins Services,299214.79,Critical,85,89.8,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Gomez-Jenkins Services' ($299,214.79); Spend spike (31.2x department norm of $9,573.66); High-value post executed on Sunday; High ML Isolation Forest score (89.8/100)"
TXN-DUP-759447,2024-04-22,Finance & Administration,Williams and Sons Solutions,75000.0,Critical,85,89.3,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Williams and Sons Solutions' ($75,000.00); Spend spike (5.6x department norm of $13,382.26); Unusual clean round-sum retainer billing; High ML Isolation Forest score (89.3/100)"
TXN-DUP-166882,2024-11-25,Finance & Administration,Morales-Jones Services,75000.0,Critical,85,89.3,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Morales-Jones Services' ($75,000.00); Spend spike (5.6x department norm of $13,382.26); Unusual clean round-sum retainer billing; High ML Isolation Forest score (89.3/100)"
TXN-DUP-642757,2025-12-27,Information Technology,"Johnston, Sanchez and Kennedy Services",249692.61,Critical,85,87.8,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Johnston, Sanchez and Kennedy Services' ($249,692.61); Spend spike (20.2x department norm of $12,342.28); High-value post executed on Saturday; High ML Isolation Forest score (87.8/100)"
TXN-2025-059473,2025-10-25,Finance & Administration,Morales-Jones Services,259091.28,Critical,85,87.3,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Morales-Jones Services' ($259,091.28); Spend spike (19.4x department norm of $13,382.26); High-value post executed on Saturday; High ML Isolation Forest score (87.3/100)"
TXN-DUP-369639,2025-10-26,Finance & Administration,Morales-Jones Services,259091.28,Critical,85,85.6,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Morales-Jones Services' ($259,091.28); Spend spike (19.4x department norm of $13,382.26); High-value post executed on Sunday; High ML Isolation Forest score (85.6/100)"
TXN-2024-081431,2024-03-16,Marketing & Sales,"Gardner, Robinson and Lawrence Group",148029.48,Critical,85,85.3,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Gardner, Robinson and Lawrence Group' ($148,029.48); Spend spike (15.5x department norm of $9,573.66); High-value post executed on Saturday; High ML Isolation Forest score (85.3/100)"
